,infraction_code,location2,count,fine_sum,fine_descrp,lat,lng,address
38,1,15 ERSKINE AVE,10,300.0,PARK FAIL TO DEPOSIT FEE METER,43.7110184,-79.3985366,15 Erskine Ave Toronto ON M4P 1Y5 Canada
39,1,150 BEVERLEY ST,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.6544189,-79.39441699999999,150 Beverley St Toronto ON M5T 1Y5 Canada
40,1,150 ISLINGTON AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.60116379999999,-79.5054408,150 Islington Ave Etobicoke ON M8V 3B6 Canada
41,1,156 ISLINGTON AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6018366,-79.5059357,156 Islington Ave Etobicoke ON M8V 3B6 Canada
42,1,158 EGLINTON AVE W,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.7059144,-79.4029539,158 Eglinton Ave W Toronto ON M4R 2H7 Canada
43,1,158 ISLINGTON AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6018965,-79.50587949999999,158 Islington Ave Etobicoke ON M8V 3B6 Canada
44,1,159 FREDERICK ST,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.65066330000001,-79.3691568,159 Frederick St Toronto ON M5A 4P3 Canada
45,1,159 ISLINGTON AVE,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6018171,-79.5054949,159 Islington Ave Etobicoke ON M8V 3B8 Canada
46,1,16 BALES AVE,21,630.0,PARK FAIL TO DEPOSIT FEE METER,43.7588275,-79.4091006,16 Bales Ave North York ON M2N 4S8 Canada
47,1,16 WOBURN AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7284067,-79.40369989999999,16 Woburn Ave Toronto ON M5M 1K6 Canada
48,1,160 FREDERICK ST,13,390.0,PARK FAIL TO DEPOSIT FEE METER,43.6501492,-79.3691087,160 Frederick St Toronto ON M5A 1E2 Canada
49,1,161 FREDERICK ST,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.650673,-79.3690836,161 Frederick St Toronto ON M5A 4P1 Canada
50,1,165 DYNEVOR RD,7,210.0,PARK FAIL TO DEPOSIT FEE METER,43.69509619999999,-79.4508678,165 Dynevor Rd York ON M6E 3X5 Canada
